"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRSS12",2.09404617327343,2.35075293274659,1.51063049566485,1.55614026030369,0.119674743242678,NA
"LOC729218",237.194352967205,0.10814902059094,0.172806504665154,0.625838829391864,0.53142066032127,0.804923879281903
"METTL14",244.300441368189,0.142772339238245,0.192458021435153,0.741836262129248,0.458186547117438,0.759701650247608
"SEC24D",806.013480510146,0.0501198319015818,0.126116027994957,0.397410485395131,0.691064784587791,0.880198662959306
"SYNPO2",6.55823354566555,0.646516081132632,0.868339182624743,0.744543254605185,0.456547883186837,NA
"USP53",227.77550141416,0.430584532404304,0.209121699262174,2.05901412394552,0.0394928854861446,0.209259059195541
"ARLN",488.184563468477,0.0333744244047602,0.177832376624783,0.187673499270487,0.851132605631541,0.947133496659514
"LINC01061",47.5902454831543,0.102321124343077,0.2836827890793,0.360688516477022,0.718332310185455,0.891624296683761
"GTF2IP12",4.7580812068554,0.490326714758463,0.879888739263896,0.557259904438218,0.57734986613771,NA
"SEPTIN7P14",50.6690542603598,0.00189291832046134,0.28349385977634,0.00667710518300021,0.994672480450442,0.998084327663219
"PDE5A",21.3066722584602,-0.114182289524355,0.442907869334619,-0.257801446824351,0.796560147820099,0.924849782926662
"MAD2L1",590.906625279133,-1.02315578384356,0.157060769795344,-6.51439430213392,7.29835516365801e-11,1.24062175140073e-08
"ANXA5",4994.16212485911,-0.086331371789233,0.114248599622278,-0.755644901334954,0.449862127209067,0.753403767562622
"EXOSC9",729.743535978801,0.135279104923598,0.182117786171739,0.742811055236682,0.457596081343126,0.759279924444688
"CCNA2",1058.1058763762,-0.0472835094668706,0.122102158028123,-0.387245485505506,0.698574479320748,0.883952155253565
"BBS7",178.826681772915,-0.00500927132910731,0.197757752362962,-0.0253303411332941,0.979791472966321,0.992894808600406
